project_id,project_name,client_name,technology,status,completion_percentage,budget,start_date,team_size
1,E-commerce Platform,TechCorp Ltd,React/Node.js,Completed,58,4237034,1/7/2024,10
2,Mobile Banking App,FinanceFirst,Angular/.NET,Planning,27,2486415,1/14/2024,8
3,CRM System,RetailMax,React/Node.js,Completed,54,4952249,1/21/2024,9
4,Inventory Management,HealthPlus,Python/Django,Active,84,4567364,1/28/2024,11
5,Learning Management System,EduTech Solutions,Flutter,Completed,36,2703560,2/4/2024,6
6,Healthcare Portal,MediCare Systems,Angular/.NET,Completed,35,4564038,2/11/2024,4
7,Real Estate Platform,PropTech Inc,Angular/.NET,Active,73,2172739,2/18/2024,9
8,Food Delivery App,FoodieExpress,Python/Django,Completed,25,3016251,2/25/2024,6
9,Social Media Dashboard,SocialConnect,Flutter,Active,55,1486488,3/3/2024,5
10,Financial Analytics Tool,InvestSmart,Flutter,Completed,13,1290129,3/10/2024,3
11,IoT Monitoring System,SmartDevices Co,React/Node.js,Completed,73,1701568,3/17/2024,4
12,Blockchain Wallet,CryptoSecure,React/Node.js,Active,18,2405316,3/24/2024,7
13,AI Chatbot Platform,ChatBot Solutions,Python/Django,Active,17,1203070,3/31/2024,3
14,Document Management,DocuFlow,React/Node.js,Active,57,973413,4/7/2024,8
15,Video Streaming App,StreamTech,Flutter,Active,67,1527672,4/14/2024,5
16,Logistics Tracker,LogiTrack,Java/Spring,Completed,27,2792125,4/21/2024,7
17,HR Management System,PeopleFirst,PHP/Laravel,Completed,67,3933742,4/28/2024,9
18,Customer Support Portal,SupportDesk,Angular/.NET,Active,15,2509231,5/5/2024,3
19,Analytics Dashboard,DataViz Pro,Angular/.NET,Completed,57,4544489,5/12/2024,3
20,Cloud Migration Project,CloudMasters,Python/Django,Completed,62,3834745,5/19/2024,11
21,E-commerce Platform,StreamTech,React/Node.js,Planning,46,1993248,11/12/2024,15
22,HR Management System,PropTech Inc,Angular/.NET,Planning,46,4107326,12/30/2024,9
23,CRM System,MediCare Systems,React/Node.js,Completed,23,4315071,11/25/2024,7
24,Analytics Dashboard,InvestSmart,Flutter,Planning,84,4787867,3/18/2024,12
25,Analytics Dashboard,FinanceFirst,Java/Spring,Active,54,3284256,1/2/2024,3
26,Mobile Banking App,ChatBot Solutions,React/Node.js,Active,60,4768459,2/12/2024,10
27,AI Chatbot Platform,PeopleFirst,Angular/.NET,Completed,42,2034002,1/28/2024,12
28,Learning Management System,FoodieExpress,Flutter,Active,42,3136193,2/18/2024,7
29,Document Management,DataViz Pro,Java/Spring,Completed,65,4167979,6/22/2024,9
30,Blockchain Wallet,InvestSmart,PHP/Laravel,Planning,85,4357435,10/30/2024,7
31,Customer Support Portal,MediCare Systems,Python/Django,Active,96,3908779,3/6/2024,5
32,AI Chatbot Platform,StreamTech,Java/Spring,Active,55,4307607,1/22/2024,7
33,Food Delivery App,MediCare Systems,Flutter,Active,87,921462,10/19/2024,15
34,Real Estate Platform,StreamTech,PHP/Laravel,Planning,63,2543826,11/25/2024,10
35,Customer Support Portal,SupportDesk,Python/Django,Active,39,1249113,10/20/2024,12
36,Logistics Tracker,InvestSmart,PHP/Laravel,Completed,51,3379426,11/6/2024,7
37,Learning Management System,ChatBot Solutions,PHP/Laravel,Active,33,1386514,10/20/2024,13
38,AI Chatbot Platform,DataViz Pro,Python/Django,Active,76,1838834,3/8/2024,15
39,Document Management,SocialConnect,Java/Spring,Planning,56,4048196,6/24/2024,10
40,Document Management,EduTech Solutions,Java/Spring,Planning,17,3291463,8/29/2024,15
41,Blockchain Wallet,ChatBot Solutions,Angular/.NET,Completed,91,2848819,11/5/2024,6
42,Blockchain Wallet,EduTech Solutions,Flutter,Planning,37,2362222,2/1/2024,5
43,AI Chatbot Platform,FoodieExpress,Java/Spring,Planning,93,3560046,9/16/2024,13
44,Logistics Tracker,ChatBot Solutions,Flutter,Completed,46,1631928,7/22/2024,9
45,IoT Monitoring System,SocialConnect,PHP/Laravel,Planning,68,1127841,12/27/2024,4
46,AI Chatbot Platform,SocialConnect,PHP/Laravel,Completed,96,1714543,12/5/2024,3
47,Document Management,CryptoSecure,Python/Django,Active,36,1843499,12/26/2024,12
48,Analytics Dashboard,SocialConnect,PHP/Laravel,Planning,19,2559891,11/8/2024,14
49,Logistics Tracker,FinanceFirst,Java/Spring,Planning,98,1359032,5/6/2024,7
50,Blockchain Wallet,TechCorp Ltd,Java/Spring,Active,53,1566217,11/10/2024,15
51,Real Estate Platform,SocialConnect,Flutter,Active,34,3460369,6/30/2024,5
52,Food Delivery App,ChatBot Solutions,React/Node.js,Completed,42,1073547,7/16/2024,15
53,CRM System,RetailMax,Flutter,Completed,74,4229068,7/10/2024,10
54,Document Management,FoodieExpress,React/Node.js,Completed,90,3624159,6/25/2024,7
55,Video Streaming App,DataViz Pro,Angular/.NET,Completed,78,4917497,3/30/2024,13
56,Document Management,CloudMasters,React/Node.js,Active,39,1232405,12/24/2024,15
57,IoT Monitoring System,MediCare Systems,React/Node.js,Planning,93,2834873,6/29/2024,13
58,Inventory Management,CloudMasters,React/Node.js,Completed,62,1438557,11/7/2024,12
59,Real Estate Platform,InvestSmart,Flutter,Active,12,4779644,11/3/2024,15
60,Analytics Dashboard,StreamTech,Angular/.NET,Planning,75,3196604,9/1/2024,13
61,Food Delivery App,RetailMax,Angular/.NET,Active,47,1303090,8/30/2024,3
62,E-commerce Platform,HealthPlus,Flutter,Planning,49,4070427,9/29/2024,10
63,Customer Support Portal,TechCorp Ltd,Java/Spring,Completed,79,2732336,1/24/2024,12
64,Customer Support Portal,SmartDevices Co,Angular/.NET,Active,38,3093858,9/7/2024,13
65,Blockchain Wallet,CloudMasters,Flutter,Active,100,2765634,10/23/2024,12
66,Inventory Management,SupportDesk,Python/Django,Planning,16,2295974,8/26/2024,13
67,E-commerce Platform,MediCare Systems,PHP/Laravel,Completed,99,2473759,10/14/2024,6
68,CRM System,SocialConnect,Angular/.NET,Completed,58,3349910,5/18/2024,4
69,Video Streaming App,EduTech Solutions,Angular/.NET,Active,38,4316528,9/15/2024,12
70,Real Estate Platform,DataViz Pro,React/Node.js,Completed,29,1076190,11/25/2024,15
71,IoT Monitoring System,PeopleFirst,Angular/.NET,Active,83,1004454,2/9/2024,7
72,Healthcare Portal,HealthPlus,Python/Django,Completed,89,3709737,11/19/2024,8
73,CRM System,TechCorp Ltd,Python/Django,Completed,42,4289778,1/14/2024,13
74,Real Estate Platform,LogiTrack,React/Node.js,Completed,77,3050439,9/27/2024,5
